frame,id,real_x,real_y
8,6,0.06,14.84
9,6,0.06,14.84
10,6,0.04,14.71
11,6,0.06,14.84
12,6,0.05,14.85
13,6,0.04,14.71
14,6,0.05,14.44
15,6,0.02,14.31
16,6,0.01,14.05
17,6,0.01,13.92
18,6,0.02,13.78
19,6,0.01,13.65
65,1,1.78,0.03
66,1,1.76,0.11
67,1,1.75,0.19
68,1,1.72,0.12
69,1,1.69,0.13
70,1,1.68,0.21
71,1,1.64,0.14
72,1,1.64,0.22
73,1,1.6,0.23
74,1,1.58,0.31
75,1,1.57,0.31
76,1,1.54,0.32
77,1,1.54,0.47
78,1,1.53,0.7
79,1,1.51,0.94
80,1,1.46,1.11
81,1,1.37,1.21
82,1,1.41,1.36
83,1,1.41,1.28
84,1,1.39,1.21
85,1,1.38,1.29
86,1,1.37,1.29
87,1,1.34,1.3
88,1,1.31,1.3
89,1,1.28,1.39
90,1,1.25,1.4
91,1,1.24,1.4
92,1,1.21,1.49
93,1,1.18,1.5
94,1,1.17,1.58
95,1,1.17,1.66
96,1,1.16,1.91
97,1,1.18,2.15
98,1,1.2,2.39
99,1,1.2,2.56
100,1,1.22,2.64
101,1,1.22,2.64
102,1,1.21,2.72
103,1,1.22,2.81
104,1,1.19,2.73
105,1,1.15,2.74
106,1,1.13,2.66
107,1,1.15,2.83
108,1,1.15,2.83
109,1,1.13,2.75
110,1,1.13,2.66
111,1,1.11,2.75
112,1,1.13,2.83
113,1,1.12,2.92
114,1,1.12,3.09
115,1,1.13,3.44
116,1,1.15,3.61
117,1,1.14,3.7
118,1,1.14,3.88
119,1,1.12,3.97
120,1,1.13,3.97
121,1,1.13,3.97
122,1,1.14,4.06
123,1,1.15,4.14
124,1,1.15,4.14
125,1,1.12,4.24
126,1,1.12,4.24
127,1,1.13,4.33
128,1,1.1,4.34
129,1,1.11,4.43
130,1,1.13,4.51
131,1,1.16,4.51
132,1,1.15,4.51
133,1,1.15,4.69
134,1,1.13,4.88
135,1,1.13,5.07
136,1,1.17,5.35
137,1,1.15,5.26
137,2,2.07,13.19
138,1,1.14,5.35
138,2,1.97,12.45
139,1,1.14,5.35
139,2,1.9,11.97
140,1,1.13,5.45
140,2,1.85,12.12
141,1,1.15,5.45
141,2,1.79,11.89
142,1,1.15,5.45
142,2,1.73,11.54
143,1,1.17,5.35
144,1,1.18,5.34
145,1,1.2,5.34
146,1,1.2,5.43
147,1,1.2,5.43
148,1,1.23,5.52
149,1,1.24,5.52
150,1,1.24,5.52
151,1,1.24,5.52
152,1,1.25,5.8
153,1,1.26,6.09
154,1,1.26,6.19
155,1,1.27,6.29
156,1,1.26,6.39
157,1,1.24,6.49
158,1,1.23,6.5
159,1,1.23,6.6
160,1,1.23,6.6
161,1,1.29,6.68
162,1,1.28,6.58
163,1,1.32,6.67
164,1,1.32,6.77
165,1,1.33,6.67
166,1,1.34,6.77
167,1,1.35,6.76
168,1,1.35,6.76
169,1,1.35,6.87
170,1,1.33,6.87
170,25,1.4,12.78
171,1,1.33,7.07
171,25,1.39,12.15
172,1,1.36,7.17
173,1,1.36,7.27
174,1,1.37,7.37
175,1,1.36,7.27
176,1,1.38,7.27
177,1,1.41,7.26
178,1,1.42,7.36
179,1,1.4,7.36
180,1,1.4,7.36
181,1,1.42,7.46
182,1,1.42,7.57
183,1,1.39,7.47
184,1,1.37,7.37
185,1,1.39,7.37
186,1,1.37,7.37
187,1,1.36,7.38
188,1,1.35,7.48
189,1,1.34,7.59
190,1,1.33,7.7
191,1,1.33,7.7
192,1,1.33,7.8
193,1,1.32,7.91
194,1,1.31,8.02
195,1,1.3,8.13
196,1,1.27,8.14
197,1,1.27,8.14
198,1,1.28,8.24
199,1,1.28,8.24
200,1,1.34,8.22
201,1,1.33,8.23
202,1,1.31,8.23
203,1,1.27,8.35
204,1,1.23,8.37
205,1,1.21,8.37
206,1,1.21,8.37
207,1,1.22,8.48
208,1,1.19,8.49
209,1,1.18,8.38
210,1,1.19,8.49
211,1,1.19,8.71
212,1,1.17,8.71
213,1,1.18,8.82
214,1,1.2,8.81
215,1,1.17,8.82
216,1,1.14,8.83
217,1,1.13,8.95
217,31,0.09,10.06
218,1,1.1,8.95
218,31,0.08,9.83
219,1,1.07,9.07
219,31,0.1,9.94
220,1,1.06,9.08
220,31,0.12,9.94
221,1,1.03,9.2
221,31,0.14,10.04
222,1,0.99,9.1
222,31,0.14,10.04
223,1,0.98,9.1
223,31,0.15,9.81
224,1,0.95,9.22
224,31,0.15,9.81
225,1,0.94,9.23
225,31,0.16,9.47
226,1,0.93,9.34
226,31,0.19,9.35
227,1,0.91,9.35
227,31,0.19,9.35
227,33,1.6,10.5
228,1,0.91,9.35
228,31,0.2,9.57
228,33,1.59,10.62
229,1,0.9,9.58
229,31,0.25,9.56
230,1,0.89,9.69
230,31,0.26,9.55
231,1,0.88,9.81
231,31,0.29,9.43
232,1,0.85,9.82
232,31,0.34,9.42
233,1,0.82,9.94
233,31,0.36,9.19
234,1,0.78,9.84
234,31,0.37,9.07
235,1,0.78,9.96
235,31,0.38,8.96
236,1,0.76,10.19
236,31,0.38,8.74
237,1,0.73,10.08
237,31,0.42,8.94
238,1,0.73,10.2
238,31,0.43,8.83
239,1,0.7,9.98
239,31,0.43,8.72
240,1,0.67,9.76
240,31,0.44,8.72
241,1,0.74,10.43
241,31,0.46,8.5
242,1,0.74,10.67
242,31,0.48,8.6
243,1,0.72,10.91
243,31,0.52,8.69
244,1,0.71,11.03
244,6,0.02,7.99
244,31,0.54,8.8
245,6,0.04,7.77
245,31,0.57,8.79
246,6,0.07,7.76
246,31,0.6,8.89
247,6,0.12,7.85
247,31,0.6,8.67
248,6,0.15,7.95
248,31,0.61,8.67
249,6,0.16,7.95
249,31,0.63,8.66
250,6,0.16,7.84
250,31,0.67,8.87
251,6,0.19,7.83
251,31,0.68,8.75
252,6,0.19,7.62
252,31,0.7,8.53
253,6,0.21,7.62
253,31,0.71,8.42
254,6,0.2,7.51
254,31,0.74,8.41
255,6,0.21,7.41
255,31,0.78,8.29
256,6,0.22,7.51
256,31,0.81,8.28
257,6,0.23,7.4
257,31,0.83,8.06
258,6,0.23,7.4
258,31,0.83,7.85
259,6,0.25,7.29
259,31,0.86,7.63
260,6,0.25,7.29
260,31,0.88,7.42
261,6,0.23,7.2
261,31,0.91,7.41
262,6,0.24,7.19
262,31,0.92,7.3
263,6,0.24,7.09
263,31,0.9,7.0
264,6,0.25,7.09
264,31,0.9,6.8
265,6,0.26,6.98
265,31,0.95,6.88
266,6,0.28,6.98
266,30,0.14,10.04
266,31,1.0,7.17
267,6,0.29,6.87
267,30,0.25,9.56
267,31,1.02,7.27
268,6,0.3,6.87
268,31,1.02,6.96
269,6,0.3,6.57
269,30,0.22,9.34
269,31,1.08,6.95
270,6,0.3,6.57
270,30,0.24,9.67
270,31,1.12,7.14
271,6,0.33,6.56
271,30,0.22,9.91
271,31,1.12,6.93
272,6,0.37,6.45
272,30,0.21,10.14
272,31,1.17,6.72
273,6,0.39,6.44
273,30,0.2,10.14
273,31,1.2,6.61
274,6,0.42,6.43
274,30,0.18,10.15
274,31,1.23,6.7
275,6,0.44,6.53
275,30,0.21,10.37
275,31,1.25,6.59
276,6,0.45,6.43
276,30,0.18,10.38
276,31,1.3,6.48
277,6,0.45,6.32
277,30,0.13,10.4
277,31,1.33,6.47
278,5,0.83,13.5
278,6,0.46,6.22
278,30,0.11,10.4
278,31,1.38,6.66
279,5,0.85,12.97
279,6,0.48,6.22
279,30,0.1,10.41
279,31,1.4,6.75
280,5,0.9,13.6
280,6,0.49,6.21
280,30,0.11,10.64
280,31,1.46,6.94
281,5,0.95,14.66
281,6,0.51,6.01
281,30,0.1,10.87
281,31,1.49,6.93
282,6,0.54,6.0
282,30,0.11,10.99
282,31,1.51,6.82
283,6,0.57,6.0
283,30,0.09,11.0
283,31,1.51,6.62
284,6,0.59,5.99
284,30,0.09,11.0
284,31,1.52,6.41
285,6,0.61,6.08
285,30,0.09,11.0
285,31,1.54,6.21
286,6,0.65,6.07
286,30,0.06,11.13
286,31,1.56,5.91
287,6,0.7,6.06
287,30,0.05,11.13
287,31,1.58,5.81
288,6,0.73,5.95
288,30,0.05,11.13
288,31,1.68,6.17
289,6,0.73,5.75
289,30,0.03,11.14
289,31,1.7,5.97
290,6,0.73,5.66
290,30,0.03,11.14
290,31,1.77,6.44
291,6,0.72,5.28
291,30,0.02,11.26
291,31,1.79,6.34
292,6,0.72,5.09
292,30,0.04,11.25
292,31,1.83,6.42
293,6,0.72,5.09
293,30,0.03,11.14
293,31,1.82,6.03
294,6,0.73,5.18
294,30,0.01,11.14
294,31,1.83,5.93
295,6,0.76,5.27
295,31,1.91,6.3
296,6,0.76,4.99
296,31,1.91,6.2
297,6,0.79,4.88
297,31,1.93,6.2
298,6,0.82,4.69
298,31,1.95,5.99
299,6,0.86,4.59
299,31,1.96,5.79
300,6,0.89,4.58
300,31,1.99,5.49
301,6,0.91,4.48
301,31,2.01,5.39
302,6,0.94,4.47
302,31,2.03,5.1
303,6,0.98,4.37
303,31,2.03,4.92
304,6,0.99,4.37
304,31,2.03,4.64
305,6,0.99,4.37
305,31,2.07,4.72
306,6,1.0,4.36
306,31,2.09,4.8
307,6,1.0,4.36
307,31,2.13,4.89
308,6,1.02,4.36
308,31,2.16,4.97
309,6,1.01,4.27
309,31,2.19,4.96
310,6,1.03,4.09
310,31,2.23,5.05
311,6,1.05,3.99
311,31,2.23,5.05
312,6,1.08,3.8
312,31,2.24,5.04
313,6,1.12,3.7
313,31,2.29,5.22
314,6,1.14,3.7
314,31,2.32,5.31
315,6,1.17,3.6
315,31,2.33,5.21
316,6,1.24,3.32
316,31,2.33,4.92
317,6,1.26,3.23
317,31,2.34,4.73
318,6,1.26,3.23
318,31,2.36,4.73
319,6,1.25,3.14
319,31,2.38,4.82
320,6,1.34,3.21
320,31,2.4,4.81
321,6,1.35,3.2
321,31,2.44,4.99
322,6,1.35,3.2
322,31,2.4,4.35
323,6,1.38,3.2
323,31,2.39,3.99
324,6,1.42,3.27
324,31,2.39,3.99
325,6,1.42,3.19
325,31,2.43,4.16
326,6,1.41,3.02
326,31,2.44,4.15
327,6,1.39,2.85
327,31,2.47,4.15
328,6,1.37,2.6
328,31,2.5,4.14
329,6,1.38,2.51
329,31,2.52,4.13
330,6,1.41,2.42
330,31,2.55,4.22
331,6,1.45,2.41
331,31,2.56,4.21
332,6,1.44,2.41
332,31,2.58,4.03
333,6,1.44,2.0
333,31,2.59,3.84
334,6,1.48,1.91
334,31,2.6,3.75
335,6,1.5,1.74
335,31,2.6,3.66
336,6,1.49,1.66
336,31,2.61,3.66
337,6,1.57,1.72
337,31,2.61,3.48
338,6,1.63,1.71
338,31,2.65,3.56
339,6,1.62,1.71
339,31,2.67,3.55
340,6,1.65,1.7
340,31,2.7,3.37
341,6,1.66,1.78
341,31,2.7,2.94
342,6,1.68,1.86
342,31,2.69,2.51
343,6,1.66,1.86
343,31,2.72,2.59
344,6,1.69,1.85
344,31,2.74,2.58
345,6,1.67,1.62
345,31,2.82,3.08
346,6,1.67,1.46
346,31,2.83,2.99
347,6,1.67,1.37
347,31,2.87,3.06
348,6,1.68,1.29
348,31,2.87,2.98
349,6,1.64,1.06
349,31,2.91,3.05
350,6,1.74,0.81
350,31,2.96,3.13
351,6,1.79,0.56
351,31,2.97,2.86
352,6,1.84,0.55
352,31,3.03,3.02
353,6,1.86,0.47
353,31,3.04,3.02
354,6,1.86,0.32
354,31,3.06,3.01
355,6,1.86,0.32
355,31,3.06,2.93
356,6,1.86,0.32
356,31,3.03,2.59
357,6,1.84,0.25
357,31,3.04,2.34
358,6,1.84,0.25
358,31,3.02,1.93
359,6,1.85,0.24
359,31,3.05,2.08
360,6,1.84,0.25
360,31,3.13,2.57
361,6,1.84,0.17
361,31,3.2,2.89
362,6,1.85,0.24
362,31,3.2,2.8
363,6,1.86,0.17
363,31,3.19,2.64
364,6,1.86,0.17
364,31,3.18,2.47
365,6,1.89,0.08
365,31,3.19,2.55
366,31,3.27,2.79
367,31,3.28,2.87
368,31,3.29,2.87
369,31,3.28,2.78
370,31,3.3,2.61
371,31,3.19,1.48
372,31,3.21,1.39
373,31,3.16,0.85
374,31,3.21,1.15
375,31,3.21,1.15
376,31,3.23,0.99
377,31,3.27,1.06
378,31,3.29,1.13
379,31,3.33,1.28
380,31,3.37,1.51
381,31,3.37,1.35
382,31,3.37,1.19
383,31,3.35,1.04
384,31,3.28,0.36
1142,98,5.98,11.56
1143,98,5.82,11.61
1144,98,5.61,11.31
1145,98,5.56,11.96
1146,98,5.39,12.02
1147,98,5.21,11.83
1148,98,5.09,12.0
1149,98,4.94,12.17
1150,98,4.82,12.22
1151,98,4.63,12.03
1152,98,4.51,12.33
1153,98,4.34,12.26
1154,98,4.21,12.43
1155,98,4.12,12.85
1156,98,3.98,13.03
1157,98,3.83,13.08
1158,98,3.65,13.02
1159,98,3.59,13.57
1160,98,3.42,13.63
1161,98,3.23,13.3
1162,98,3.08,13.35
1163,98,2.91,13.28
1164,98,2.73,13.08
1165,98,2.53,12.77
1166,98,2.42,13.06
1167,98,2.29,13.37
1168,98,2.14,13.16
1169,98,1.97,13.22
1170,98,1.84,13.53
1171,98,1.7,13.58
1172,98,1.51,13.26
1173,98,1.38,13.17
1174,98,1.2,13.1
1175,98,1.06,13.15
1176,98,0.95,13.45
1177,98,0.85,14.15
1178,98,0.69,14.21
1179,98,0.5,13.35
1180,98,0.34,13.54
1181,98,0.2,13.58
1182,98,0.05,13.77
1227,107,2.0,14.41
1228,107,2.0,14.41
1229,107,2.0,14.41
1230,107,2.0,14.41
1231,107,1.98,14.42
1232,107,1.98,14.42
1233,107,2.0,14.41
1234,107,2.0,14.41
1235,107,2.0,14.41
1236,107,2.0,14.41
1237,107,2.0,14.41
1238,107,2.0,14.41
1239,107,2.0,14.41
1240,107,2.0,14.41
1241,107,2.0,14.41
1242,107,2.0,14.41
1243,107,2.0,14.41
1244,107,2.01,14.55
1245,107,2.01,14.55
1246,107,2.01,14.55
1247,107,2.01,14.55
1248,107,2.01,14.55
1249,107,2.01,14.55
1250,107,2.01,14.55
1479,156,1.97,14.15
1480,156,1.99,14.28
1481,156,1.97,14.29
1482,156,1.99,14.28
1483,156,1.97,14.15
1484,156,1.97,14.15
1485,156,1.97,14.15
1486,156,1.96,14.02
1487,156,1.95,13.89
1488,156,1.96,14.02
1489,156,1.95,13.89
1490,156,1.95,13.89
1527,160,1.99,14.55
1528,160,1.98,14.42
1529,160,1.98,14.42
1530,160,1.99,14.55
1531,160,1.99,14.55
1532,160,2.0,14.68
1533,160,2.0,14.68
1534,160,2.01,14.82
1535,160,2.01,14.82
1536,160,2.01,14.82
1537,160,2.01,14.82
1538,160,2.02,14.95
1539,160,2.01,14.82
1540,160,2.03,14.81
1541,160,2.03,14.81
1542,160,2.02,14.95
1593,125,5.35,14.0
1594,125,5.32,13.87
1595,125,5.39,14.53
1599,173,5.68,12.94
1600,173,5.45,14.1
1602,173,4.59,14.28
1603,173,4.05,13.94
1604,173,3.56,13.58
1605,173,3.14,13.73
1608,173,1.65,14.0
1609,173,1.18,14.16
1610,125,5.14,14.76
1610,173,0.63,13.17
1611,125,5.08,14.65
1611,173,0.18,13.86
1612,125,5.03,14.53
1613,125,5.03,14.67
1614,125,4.99,14.54
1615,125,4.98,14.55
1616,125,4.96,14.55
1617,125,4.92,14.29
1618,125,4.89,14.3
1619,125,4.87,14.17
1620,125,4.86,14.32
1621,125,4.84,14.32
1622,125,4.82,14.33
1623,125,4.77,14.21
1624,125,4.69,13.97
1625,125,4.67,13.97
1626,125,4.63,13.86
1627,125,4.64,13.85
1628,125,4.67,13.97
1629,125,4.66,13.98
1630,125,4.66,13.98
1631,125,4.64,14.12
1632,125,4.63,14.13
1633,125,4.61,14.14
1634,125,4.59,14.14
1635,125,4.56,14.15
1636,125,4.54,14.16
1637,125,4.51,14.17
1638,125,4.51,14.17
1639,125,4.49,14.18
1640,125,4.48,14.18
1641,125,4.46,14.19
1642,125,4.43,14.2
1643,125,4.38,14.08
1644,125,4.34,14.1
1645,125,4.29,14.12
1646,125,4.24,14.0
1647,125,4.24,14.13
1648,125,4.23,14.0
1649,125,4.23,14.14
1650,125,4.2,14.02
1651,125,4.15,13.76
1652,125,4.13,13.77
1653,125,4.1,13.65
1654,125,4.1,13.78
1655,125,4.08,13.79
1656,125,4.06,13.79
1657,125,4.03,13.67
1658,125,4.05,13.94
1659,125,4.03,13.94
1660,125,4.0,13.82
1661,125,4.0,13.82
1662,125,3.98,13.82
1663,125,4.0,13.95
1664,125,3.97,13.83
1665,125,3.95,13.84
1666,125,3.9,13.72
1667,125,3.88,13.73
1668,125,3.87,13.73
1669,125,3.83,13.74
1670,125,3.8,13.89
1671,125,3.77,13.9
1672,125,3.75,13.91
1673,125,3.73,13.78
1674,125,3.72,13.79
1675,125,3.7,13.79
1676,125,3.68,13.8
1677,125,3.64,13.68
1677,183,2.02,14.68
1678,125,3.59,13.7
1678,183,2.02,14.68
1679,125,3.57,13.71
1679,183,2.02,14.68
1680,125,3.52,13.72
1680,183,2.02,14.68
1681,125,3.43,13.49
1681,183,2.02,14.68
1682,125,3.39,13.5
1682,183,2.02,14.68
1683,125,3.36,13.38
1683,183,2.02,14.68
1684,125,3.34,13.52
1684,183,2.02,14.68
1685,125,3.33,13.53
1685,183,2.02,14.68
1686,125,3.31,13.53
1686,183,2.02,14.68
1687,125,3.31,13.53
1687,183,2.03,14.81
1688,125,3.29,13.54
1688,134,3.67,14.76
1688,183,2.03,14.81
1689,125,3.24,13.56
1689,134,3.63,14.36
1689,183,2.04,14.95
1690,125,3.21,13.57
1690,134,3.58,14.24
1690,183,2.04,14.95
1691,125,3.21,13.7
1691,134,3.53,14.12
1692,125,3.19,13.71
1692,134,3.57,13.98
1693,125,3.16,13.59
1693,183,2.04,14.95
1694,125,3.18,13.58
1694,183,2.04,14.95
1695,125,3.14,13.59
1695,183,2.04,14.95
1696,125,3.13,13.6
1696,183,2.04,14.95
1697,125,3.08,13.48
1697,183,2.04,14.95
1698,125,3.06,13.49
1699,125,3.02,13.37
1700,125,3.01,13.64
1701,125,3.01,13.64
1702,125,2.98,13.65
1703,125,2.96,13.66
1704,125,2.93,13.67
1705,125,2.91,13.68
1706,125,2.89,13.68
1707,125,2.89,13.68
1708,125,2.88,13.69
1709,125,2.84,13.7
1710,125,2.81,13.71
1711,125,2.79,13.72
1712,125,2.76,13.73
1713,125,2.74,13.74
1714,125,2.73,13.74
1715,125,2.7,13.89
1716,125,2.68,13.76
1717,125,2.66,13.77
1718,125,2.64,13.77
1719,125,2.61,13.65
1720,125,2.6,13.66
1721,125,2.55,13.54
1722,125,2.53,13.68
1723,125,2.51,13.69
1723,183,2.01,14.82
1724,125,2.48,13.7
1724,183,2.01,14.82
1725,125,2.44,13.71
1725,183,2.0,14.68
1726,125,2.41,13.72
1727,125,2.38,13.74
1728,125,2.36,13.74
1729,125,2.33,13.62
1730,125,2.33,13.62
1731,125,2.3,13.5
1732,125,2.32,13.63
1733,125,2.32,13.63
1734,125,2.3,13.63
1735,125,2.28,13.64
1736,125,2.24,13.79
1737,125,2.21,13.8
1738,125,2.2,13.93
1739,125,2.19,13.94
1740,125,2.17,13.95
1741,125,2.15,13.95
1742,125,2.12,13.83
1743,125,2.11,13.83
1744,125,2.08,13.71
1745,125,2.05,13.72
1746,125,2.03,13.73
1747,125,2.0,13.61
1748,125,1.97,13.62
1749,125,1.94,13.76
1750,125,1.91,13.77
1751,125,1.89,13.78
1752,125,1.86,13.79
1753,125,1.85,13.66
1754,125,1.81,13.67
1755,125,1.8,13.54
1756,125,1.75,13.56
1757,125,1.74,13.57
1758,125,1.71,13.45
1759,125,1.69,13.45
1760,125,1.68,13.46
1761,125,1.64,13.6
1762,125,1.62,13.61
1763,125,1.54,13.51
1764,125,1.52,13.51
1765,125,1.48,13.66
1766,125,1.45,13.67
1767,125,1.41,13.68
1767,194,1.92,14.17
1768,125,1.39,13.56
1768,194,1.96,14.42
1769,125,1.35,13.31
1769,194,2.0,14.68
1770,125,1.34,13.32
1770,194,2.02,14.95
1771,125,1.32,13.32
1772,125,1.3,13.33
1772,194,2.0,14.96
1773,125,1.29,13.46
1774,125,1.28,13.47
1775,125,1.29,13.72
1776,125,1.29,13.72
1777,125,1.28,13.73
1777,197,5.86,4.86
1778,125,1.27,13.87
1778,197,5.3,4.93
1779,125,1.27,13.87
1779,197,4.65,5.02
1780,125,1.23,13.88
1780,197,3.96,5.32
1781,125,1.23,14.02
1781,149,2.63,14.45
1781,197,3.41,5.76
1782,125,1.23,14.02
1782,149,2.49,13.3
1782,197,2.88,5.92
1783,125,1.17,13.9
1783,149,2.43,12.93
1783,197,2.32,5.69
1784,125,1.03,12.4
1784,149,2.38,12.56
1784,197,1.67,5.98
1785,125,1.0,12.92
1785,197,0.98,5.88
1786,125,0.85,12.97
1786,197,0.4,5.95
1805,169,0.72,14.33
1806,169,0.72,14.33
1807,169,0.68,13.42
1808,169,0.64,12.78
1809,169,0.63,12.53
1810,169,0.68,13.03
1811,169,0.68,13.03
1812,169,0.69,13.28
1813,169,0.71,13.67
1814,169,0.71,13.67
1815,169,0.72,13.8
1816,169,0.73,13.93
1817,169,0.74,14.06
1818,169,0.74,14.06
1819,169,0.74,14.19
1820,169,0.74,14.19
1821,169,0.73,14.19
1822,169,0.73,14.19
1823,169,0.71,13.93
1824,169,0.67,13.55
1825,169,0.67,13.55
1826,169,0.67,13.55
1827,169,0.67,13.55
1828,169,0.68,13.42
1829,169,0.67,13.29
1830,169,0.66,13.03
1831,169,0.65,12.91
1832,169,0.65,12.91
1833,169,0.6,12.67
1834,169,0.59,12.68
1835,169,0.57,12.68
1836,169,0.57,12.68
1837,169,0.58,12.81
1838,169,0.56,12.81
1839,169,0.57,12.94
1840,169,0.57,13.06
1841,169,0.58,13.19
1842,169,0.6,13.18
1843,169,0.61,13.31
1844,169,0.6,13.57
1845,169,0.61,13.7
1846,169,0.59,13.98
1847,169,0.58,14.11
1847,180,1.12,14.87
1848,169,0.51,13.21
1848,180,1.11,14.87
1849,169,0.51,13.48
1850,169,0.51,13.74
1851,169,0.52,13.73
1851,180,0.95,14.66
1852,169,0.52,13.73
1862,180,0.62,13.57
1863,180,0.57,13.32
1864,180,0.54,13.34
1865,180,0.54,13.34
1866,180,0.51,13.21
1867,180,0.51,13.21
1868,180,0.51,13.21
1869,180,0.53,13.21
1870,180,0.53,13.21
1871,180,0.53,13.21
1872,180,0.53,13.21
1873,180,0.53,13.21
1874,180,0.53,13.21
1875,180,0.53,13.21
1876,180,0.53,13.21
1877,180,0.52,13.08
1878,180,0.52,12.96
1879,180,0.56,13.2
1880,180,0.57,13.32
1881,180,0.57,13.32
1882,180,0.59,13.58
1883,180,0.59,13.58
1884,180,0.58,13.84
1885,180,0.6,14.11
1886,180,0.6,14.11
1887,180,0.61,14.37
1888,180,0.6,14.24
1889,180,0.61,14.1
1890,180,0.61,14.1
1891,180,0.61,14.1
1892,180,0.61,14.1
1893,180,0.61,13.97
1894,180,0.61,13.97
1895,180,0.61,13.97
1896,180,0.61,13.97
1897,180,0.59,13.98
1898,180,0.59,13.98
1899,180,0.61,13.97
1900,180,0.61,13.97
1901,180,0.61,13.97
1902,180,0.61,14.1
1903,180,0.61,14.1
1904,180,0.61,14.1
1905,180,0.63,14.09
1906,180,0.61,14.1
1907,180,0.61,14.1
1908,180,0.63,14.09
1909,180,0.61,14.1
1910,180,0.61,14.1
1911,180,0.61,14.1
1912,180,0.63,14.09
1913,180,0.63,14.09
1914,180,0.61,14.1
1915,180,0.63,14.09
1916,180,0.63,14.09
1917,180,0.63,14.09
1918,180,0.64,13.96
1919,180,0.64,13.96
1920,180,0.63,13.83
1921,180,0.62,13.96
1922,180,0.62,13.96
1923,180,0.62,13.96
1924,180,0.62,13.96
1925,180,0.62,13.83
1926,180,0.62,13.83
1927,180,0.61,13.7
1928,180,0.61,13.7
1929,180,0.61,13.7
1930,180,0.61,13.7
1931,180,0.59,13.71
1932,180,0.59,13.71
1933,180,0.59,13.71
1934,180,0.59,13.71
1935,180,0.61,13.7
1936,180,0.59,13.71
1937,180,0.6,13.57
1938,180,0.6,13.57
1939,180,0.6,13.57
1940,180,0.6,13.57
1941,180,0.6,13.57
1942,180,0.59,13.58
1943,180,0.59,13.58
1944,180,0.59,13.58
1945,180,0.59,13.58
1946,180,0.59,13.58
1947,180,0.59,13.71
1948,180,0.59,13.71
1949,180,0.59,13.71
1950,180,0.6,13.84
1951,180,0.61,13.97
1952,180,0.61,13.97
1953,180,0.61,14.1
1954,180,0.61,14.1
1955,180,0.61,14.1
1956,180,0.61,14.1
1957,180,0.61,14.1
1958,180,0.61,14.1
1959,180,0.61,14.1
1960,180,0.6,14.11
1961,180,0.61,14.1
1962,180,0.59,13.98
1963,180,0.59,13.98
1964,180,0.58,13.84
1965,180,0.6,13.84
1966,180,0.59,13.71
1967,180,0.59,13.71
1968,180,0.58,13.84
1969,180,0.58,13.84
1970,180,0.6,13.84
1971,180,0.59,13.98
1972,180,0.59,13.98
1973,180,0.61,14.1
1974,180,0.6,13.84
1975,180,0.61,13.97
1976,180,0.59,13.98
1977,180,0.6,14.11
1978,180,0.58,14.11
1979,180,0.58,14.11
1980,180,0.6,14.24
1981,180,0.6,14.51
2003,180,0.57,13.32
2004,180,0.55,13.33
2005,180,0.55,13.2
2006,180,0.55,13.33
2007,180,0.55,13.33
2008,180,0.55,13.33
2009,180,0.55,13.33
